gold_price,Time,price,Estimated_transaction_volume,market capitalisation,block_size,number_of_transaction,Mempool_count,Mempool_size,Confirmed_Transaction,google_trend,mining_difficulty,hash_rate_via_BTC,Transaction_fee
162.33,2020-06-15,9425.4,750900.0,172116372679.33923,1.3554732208589,318274.0,2224.21875,879571.0729166666,318274.0,39,13732352106018.0,115951097.54610994,0.88455687970373
162.25,2020-06-16,9523.5,545470.0,173598215783.88248,1.22310094,340517.0,2224.21875,879571.0729166666,340517.0,37,13732352106018.0,115951097.54610994,1.40363451252628
162.56,2020-06-17,9464.6,446450.0,175075304218.30185,1.22310094,340517.0,14250.916666666666,8002735.723958333,340517.0,36,13732352106018.0,110570811.73739882,1.40363451252628
162.24,2020-06-18,9388.1,391670.0,174231189757.1904,1.22310094,340517.0,14250.916666666666,8002735.723958333,340517.0,34,15784744305477.0,110570811.73739882,1.40363451252628
164.03,2020-06-19,9314.0,478490.0,173034439845.62103,1.22310094,340517.0,25330.427083333332,13074004.317708334,340517.0,34,15784744305477.0,110570811.73739882,1.40363451252628
165.09,2020-06-22,9683.7,523320.0,171192409474.1401,1.10747741605839,284123.0,3183.5885416666665,1502136.953125,284123.0,35,15784744305477.0,105875824.18477464,0.981710394257909
166.48,2020-06-23,9624.6,375490.0,178128652479.62244,1.10747741605839,284123.0,14111.005208333334,25401587.088541668,284123.0,37,15784744305477.0,105875824.18477464,0.981710394257909
165.9,2020-06-24,9302.0,515780.0,177187041226.59833,1.28815984892086,312321.0,14111.005208333334,25401587.088541668,312321.0,36,15784744305477.0,105875824.18477464,1.27653907153377
165.8,2020-06-25,9247.5,524450.0,171028279701.5032,1.28815984892086,312321.0,8821.229166666666,12921919.255208334,312321.0,35,15784744305477.0,110861798.94428022,1.27653907153377
166.54,2020-06-26,9160.0,489840.0,170495281892.45944,1.28815984892086,312321.0,8821.229166666666,12921919.255208334,312321.0,35,15784744305477.0,110861798.94428022,1.27653907153377
166.63,2020-06-29,9185.4,401120.0,168334049772.4726,0.9017818,264909.0,5535.322916666667,3338972.4479166665,264909.0,33,15784744305477.0,115793972.0014575,0.673697335950307
167.37,2020-06-30,9135.4,381730.0,169175896894.16483,0.9017818,264909.0,9113.84375,8448341.34375,264909.0,34,15784618886622.5,115793972.0014575,0.673697335950307
166.62,2020-07-01,9229.9,366780.0,168558715595.07886,0.9017818,264909.0,9113.84375,8448341.34375,264909.0,34,15784618886622.5,115793972.0014575,0.673697335950307
166.98,2020-07-02,9085.1,483100.0,170031996602.76715,1.13343739634146,339469.0,11053.473958333334,6586705.84375,339469.0,33,15784618886622.5,115793972.0014575,1.50889758486723
166.98,2020-07-04,9134.4,261250.0,167116284671.21997,1.13343739634146,339469.0,7642.130208333333,7493385.828125,339469.0,29,15784217546288.0,119940130.74771547,1.50889758486723
166.98,2020-07-05,9081.0,314100.0,168258822207.29507,1.13343739634146,339469.0,7642.130208333333,7493385.828125,339469.0,30,15784217546288.0,119940130.74771547,1.50889758486723
167.98,2020-07-06,9339.0,510270.0,167429736492.90482,1.2276441038961,338767.0,4898.161458333333,2873888.4114583335,338767.0,33,15784217546288.0,119940130.74771547,1.00015012677777
169.04,2020-07-07,9256.0,420550.0,172136257752.3712,1.2276441038961,338767.0,4898.161458333333,2873888.4114583335,338767.0,35,15784217546288.0,124421541.56999876,1.00015012677777
170.09,2020-07-08,9429.9,509940.0,170510411872.0138,1.2276441038961,338767.0,12140.197916666666,8041724.364583333,338767.0,34,15784217546288.0,124421541.56999876,1.00015012677777
169.63,2020-07-09,9235.7,444270.0,173809293389.63837,1.2276441038961,338767.0,12140.197916666666,8041724.364583333,338767.0,35,15784217546288.0,124421541.56999876,1.00015012677777
169.19,2020-07-10,9285.1,418470.0,170198606143.6283,1.20817402484472,345996.0,12140.197916666666,8041724.364583333,345996.0,33,15784217546288.0,124421541.56999876,1.28367046528809
169.19,2020-07-11,9233.3,353920.0,171104767641.88345,1.20817402484472,345996.0,8124.796875,6423172.479166667,345996.0,29,15784217546288.0,124533213.70598333,1.28367046528809
169.19,2020-07-12,9300.8,366880.0,170191069703.26535,1.20817402484472,345996.0,8124.796875,6423172.479166667,345996.0,31,15784217546288.0,124533213.70598333,1.28367046528809
169.4,2020-07-13,9243.6,456870.0,171364106456.32056,1.20817402484472,345996.0,2831.796875,1294973.09375,345996.0,34,15784217546288.0,124533213.70598333,1.28367046528809
170.19,2020-07-14,9253.4,453830.0,170370727819.23874,1.2590924375,359847.0,2831.796875,1294973.09375,359847.0,35,15784217546288.0,124533213.70598333,1.61181855013175
170.34,2020-07-15,9198.7,429840.0,170451532161.73575,1.2590924375,359847.0,17454.588541666668,19687256.786458332,359847.0,39,15784217546288.0,122915681.28235176,1.61181855013175
168.73,2020-07-16,9135.3,429040.0,169758848797.9732,1.2590924375,359847.0,17454.588541666668,19687256.786458332,359847.0,46,17345948872516.0,122915681.28235176,1.61181855013175
170.12,2020-07-17,9155.8,310920.0,168496782960.8989,1.2590924375,359847.0,32726.067708333332,29588658.713541668,359847.0,35,17345948872516.0,122915681.28235176,1.61181855013175
170.94,2020-07-20,9162.4,312980.0,169692625141.8043,1.27620218461538,311022.0,18984.036458333332,36940983.057291664,311022.0,32,17345948872516.0,116374944.77118148,2.23926806714143
173.0,2020-07-21,9387.3,458990.0,168936986921.46805,1.27620218461538,311022.0,38665.390625,46743761.380208336,311022.0,34,17345948872516.0,116374944.77118148,2.23926806714143
175.63,2020-07-22,9513.7,386000.0,173036757675.6725,1.26073863194444,364792.0,38665.390625,46743761.380208336,364792.0,32,17345948872516.0,116374944.77118148,3.67601432725504
177.18,2020-07-23,9599.6,425660.0,175370017196.6754,1.26073863194444,364792.0,38665.390625,46743761.380208336,364792.0,36,17345948872516.0,113943058.68242148,3.67601432725504
178.7,2020-07-24,9546.4,359160.0,176821599773.56787,1.26073863194444,364792.0,46110.166666666664,71174750.046875,364792.0,36,17345948872516.0,113943058.68242148,3.67601432725504
178.7,2020-07-25,9704.1,306290.0,175865705417.72916,1.26073863194444,364792.0,46110.166666666664,71174750.046875,364792.0,37,17345948872516.0,113943058.68242148,3.67601432725504
178.7,2020-07-26,9932.5,415070.0,178740874539.49573,1.34358736075949,298580.0,16488.677083333332,47080995.901041664,298580.0,45,17345948872516.0,113943058.68242148,2.51085427154793
