Time,hash_rate_via_BTC
2020-10-12,140610835.70341173
2020-10-13,140610835.70341173
2020-10-14,140610835.70341173
2020-10-15,144034012.33583727
2020-10-16,144034012.33583727
2020-10-17,144034012.33583727
2020-10-18,144034012.33583727
2020-10-19,144339932.50425592
2020-10-20,144339932.50425592
2020-10-21,144339932.50425592
2020-10-22,144339932.50425592
2020-10-23,136175009.87699607
2020-10-24,136175009.87699607
2020-10-25,136175009.87699607
2020-10-26,136175009.87699607
2020-10-27,130791599.99852994
2020-10-28,130791599.99852994
2020-10-29,130791599.99852994
2020-10-30,130791599.99852994
2020-10-31,113182307.49058452
2020-11-01,113182307.49058452
2020-11-02,113182307.49058452
2020-11-03,113182307.49058452
2020-11-04,110352547.38279946
2020-11-05,110352547.38279946
2020-11-06,110352547.38279946
2020-11-07,110352547.38279946
2020-11-08,121130852.4218934
2020-11-09,121130852.4218934
2020-11-10,121130852.4218934
2020-11-11,121130852.4218934
2020-11-12,126728589.87125708
2020-11-13,126728589.87125708
2020-11-14,126728589.87125708
2020-11-15,126728589.87125708
2020-11-16,127563114.92214964
2020-11-17,127563114.92214964
2020-11-18,127563114.92214964
2020-11-19,127563114.92214964
2020-11-20,128602936.80096644
2020-11-21,128602936.80096644
2020-11-22,128602936.80096644
2020-11-23,128602936.80096644
2020-11-24,140083639.15004912
2020-11-25,140083639.15004912
2020-11-26,140083639.15004912
2020-11-27,140083639.15004912
2020-11-28,135584967.4199851
2020-11-29,135584967.4199851
2020-11-30,135584967.4199851
2020-12-01,135584967.4199851
2020-12-02,131996845.77838089
2020-12-03,131996845.77838089
2020-12-04,131996845.77838089
2020-12-05,131996845.77838089
2020-12-06,133755751.8608618
2020-12-07,133755751.8608618
2020-12-08,133755751.8608618
2020-12-09,133755751.8608618
2020-12-10,137948518.46795613
2020-12-11,137948518.46795613
2020-12-12,137948518.46795613
2020-12-13,137948518.46795613
2020-12-14,134533587.6076591
2020-12-15,134533587.6076591
2020-12-16,134533587.6076591
2020-12-17,134533587.6076591
2020-12-18,131791042.04281811
2020-12-19,131791042.04281811
2020-12-20,131791042.04281811
2020-12-21,131791042.04281811
2020-12-22,134441785.8073798
2020-12-23,134441785.8073798
2020-12-24,134441785.8073798
2020-12-25,134441785.8073798
2020-12-26,134176614.63221736
2020-12-27,134176614.63221736
2020-12-28,134176614.63221736
2020-12-29,134176614.63221736
2020-12-30,135214014.93546128
2020-12-31,135214014.93546128
2021-01-01,135214014.93546128
2021-01-02,135214014.93546128
2021-01-03,145103346.174645
2021-01-04,145103346.174645
2021-01-05,145103346.174645
2021-01-06,145103346.174645
2021-01-07,149387454.0462804
2021-01-08,149387454.0462804
2021-01-09,149387454.0462804
2021-01-10,149387454.0462804
2021-01-11,151089413.12252626
2021-01-12,151089413.12252626
2021-01-13,151089413.12252626
2021-01-14,151089413.12252626
2021-01-15,149884529.1685857
2021-01-16,149884529.1685857
2021-01-17,149884529.1685857
2021-01-18,149884529.1685857
2021-01-19,150294161.27559942
2021-01-20,150294161.27559942
2021-01-21,150294161.27559942
2021-01-22,150294161.27559942
2021-01-23,144294102.25680718
2021-01-24,144294102.25680718
2021-01-25,144294102.25680718
2021-01-26,144294102.25680718
2021-01-27,148185308.05110505
2021-01-28,148185308.05110505
2021-01-29,148185308.05110505
2021-01-30,148185308.05110505
2021-01-31,150095785.47639352
2021-02-01,150095785.47639352
2021-02-02,150095785.47639352
2021-02-03,150095785.47639352
2021-02-04,147729743.5378494
2021-02-05,147729743.5378494
2021-02-06,147729743.5378494
2021-02-07,147729743.5378494
2021-02-08,158947631.13423166
2021-02-09,158947631.13423166
2021-02-10,158947631.13423166
2021-02-11,158947631.13423166
2021-02-12,160711290.00435206
2021-02-13,160711290.00435206
2021-02-14,160711290.00435206
2021-02-15,160711290.00435206
2021-02-16,154346676.71758848
2021-02-17,154346676.71758848
2021-02-18,154346676.71758848
2021-02-19,154346676.71758848
2021-02-20,153151584.74440545
2021-02-21,153151584.74440545
2021-02-22,153151584.74440545
2021-02-23,153151584.74440545
2021-02-24,149558390.99271905
2021-02-25,149558390.99271905
