"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2022","179.73","180.13","180.71","178.79","19.62M","-1.04%"
"03/01/2022","181.62","179.05","181.76","179.03","21.67M","1.82%"
"02/28/2022","178.38","178.86","178.99","176.50","15.98M","1.04%"
"02/25/2022","176.55","176.42","176.79","175.79","11.53M","-0.33%"
"02/24/2022","177.14","182.59","182.60","175.27","32.37M","-0.65%"
"02/23/2022","178.29","177.39","178.39","177.36","11.67M","0.45%"
"02/22/2022","177.49","177.67","178.07","176.82","14.81M","0.21%"
"02/18/2022","177.12","177.07","177.25","176.51","12.76M","-0.07%"
"02/17/2022","177.25","176.70","177.53","176.39","18.56M","1.37%"
"02/16/2022","174.86","173.49","174.86","173.48","12.70M","1.03%"
"02/15/2022","173.08","173.10","173.34","172.39","12.39M","-0.95%"
"02/14/2022","174.74","173.78","175.00","173.68","13.38M","0.54%"
"02/11/2022","173.81","170.75","174.20","170.71","25.74M","1.91%"
"02/10/2022","170.56","170.52","171.99","170.46","10.51M","-0.38%"
"02/09/2022","171.21","170.68","171.42","170.55","7.77M","0.34%"
"02/08/2022","170.63","170.10","170.78","169.95","5.80M","0.31%"
"02/07/2022","170.11","169.45","170.30","169.19","7.76M","0.74%"
"02/04/2022","168.86","168.04","169.10","167.99","9.62M","0.15%"
"02/03/2022","168.60","168.31","168.82","167.03","10.61M","-0.14%"
"02/02/2022","168.84","168.34","169.12","168.15","8.95M","0.36%"
"02/01/2022","168.23","168.57","168.85","167.87","9.73M","0.08%"
"01/31/2022","168.09","167.79","168.14","167.46","8.33M","0.59%"
"01/28/2022","167.10","166.56","167.46","166.37","9.78M","-0.30%"
"01/27/2022","167.60","168.02","169.09","167.32","15.58M","-1.29%"
"01/26/2022","169.79","171.39","171.73","169.48","17.63M","-1.62%"
"01/25/2022","172.58","171.95","173.15","171.77","16.94M","0.32%"
"01/24/2022","172.03","171.78","172.14","170.85","14.99M","0.55%"
"01/21/2022","171.09","172.04","172.12","170.74","10.98M","-0.33%"
"01/20/2022","171.65","172.31","172.60","171.59","9.49M","-0.25%"
"01/19/2022","172.08","170.39","172.19","170.20","15.73M","1.59%"
"01/18/2022","169.39","169.64","170.01","169.09","9.10M","-0.17%"
