Time,Mempool_size
2020-09-22,22541985.755208332
2020-09-23,22541985.755208332
2020-09-24,30510734.369791668
2020-09-25,30510734.369791668
2020-09-26,30510734.369791668
2020-09-27,13030264.90625
2020-09-28,13030264.90625
2020-09-29,13780849.161458334
2020-09-30,13780849.161458334
2020-10-01,18188891.442708332
2020-10-02,18188891.442708332
2020-10-03,40646934.473958336
2020-10-04,40646934.473958336
2020-10-05,6135661.875
2020-10-06,6135661.875
2020-10-07,17771665.463541668
2020-10-08,17771665.463541668
2020-10-09,17771665.463541668
2020-10-10,17874333.140625
2020-10-11,17874333.140625
2020-10-12,1911490.5104166667
2020-10-13,1911490.5104166667
2020-10-14,8187467.276041667
2020-10-15,8187467.276041667
2020-10-16,5491413.796875
2020-10-17,5491413.796875
2020-10-18,4350077.4375
2020-10-19,4350077.4375
2020-10-20,13355013.489583334
2020-10-21,13355013.489583334
2020-10-22,13355013.489583334
2020-10-23,35111444.072916664
2020-10-24,35111444.072916664
2020-10-25,27236771.458333332
2020-10-26,27236771.458333332
2020-10-27,34843673.114583336
2020-10-28,34843673.114583336
2020-10-29,62559128.651041664
2020-10-30,62559128.651041664
2020-10-31,69581239.52083333
2020-11-01,69581239.52083333
2020-11-02,66135059.677083336
2020-11-03,66135059.677083336
2020-11-04,66135059.677083336
2020-11-05,61377255.380208336
2020-11-06,61377255.380208336
2020-11-07,72486452.796875
2020-11-08,72486452.796875
2020-11-09,30033931.255208332
2020-11-10,30033931.255208332
2020-11-11,6727356.869791667
2020-11-12,6727356.869791667
2020-11-13,4623173.96875
2020-11-14,4623173.96875
2020-11-15,6592337.104166667
2020-11-16,6592337.104166667
2020-11-17,6592337.104166667
2020-11-18,9067833.208333334
2020-11-19,9067833.208333334
2020-11-20,17349356.921875
2020-11-21,17349356.921875
2020-11-22,1891911.34375
2020-11-23,1891911.34375
2020-11-24,18445136.255208332
2020-11-25,18445136.255208332
2020-11-26,36990195.140625
2020-11-27,36990195.140625
2020-11-28,18478700.708333332
2020-11-29,18478700.708333332
2020-11-30,18478700.708333332
2020-12-01,23024537.489583332
2020-12-02,23024537.489583332
2020-12-03,43200183.859375
2020-12-04,43200183.859375
2020-12-05,42335450.416666664
2020-12-06,42335450.416666664
2020-12-07,8830868.822916666
2020-12-08,8830868.822916666
2020-12-09,11607218.276041666
2020-12-10,11607218.276041666
2020-12-11,19941534.947916668
2020-12-12,19941534.947916668
2020-12-13,19941534.947916668
2020-12-14,2136501.09375
2020-12-15,2136501.09375
2020-12-16,12803082.682291666
2020-12-17,12803082.682291666
2020-12-18,67213789.234375
2020-12-19,67213789.234375
2020-12-20,30786502.458333332
2020-12-21,30786502.458333332
2020-12-22,38856432.364583336
2020-12-23,38856432.364583336
2020-12-24,60270978.645833336
2020-12-25,60270978.645833336
2020-12-26,60270978.645833336
2020-12-27,39617319.270833336
2020-12-28,39617319.270833336
2020-12-29,46217853.005208336
2020-12-30,46217853.005208336
2020-12-31,49872983.255208336
2021-01-01,49872983.255208336
2021-01-02,18276684.630208332
2021-01-03,18276684.630208332
2021-01-04,13929995.072916666
2021-01-05,13929995.072916666
2021-01-06,30428946.411458332
2021-01-07,30428946.411458332
2021-01-08,30428946.411458332
2021-01-09,69276345.11979167
2021-01-10,69276345.11979167
2021-01-11,82085675.72395833
2021-01-12,82085675.72395833
2021-01-13,88929424.02083333
2021-01-14,88929424.02083333
2021-01-15,86267773.21875
2021-01-16,86267773.21875
2021-01-17,88780666.72916667
2021-01-18,88780666.72916667
2021-01-19,80059561.88020833
2021-01-20,80059561.88020833
2021-01-21,80059561.88020833
2021-01-22,85336655.01041667
2021-01-23,85336655.01041667
2021-01-24,88543788.21875
2021-01-25,88543788.21875
2021-01-26,74962821.97916667
2021-01-27,74962821.97916667
2021-01-28,67221845.54166667
2021-01-29,67221845.54166667
2021-01-30,71979385.40104167
2021-01-31,71979385.40104167
2021-02-01,84836609.96354167
2021-02-02,84836609.96354167
2021-02-03,84836609.96354167
2021-02-04,79022201.48958333
2021-02-05,79022201.48958333
2021-02-06,77745236.86979167
2021-02-07,77745236.86979167
2021-02-08,71076330.35416667
2021-02-09,71076330.35416667
2021-02-10,75427798.63541667
2021-02-11,75427798.63541667
2021-02-12,81753163.61979167
2021-02-13,81753163.61979167
2021-02-14,81455124.078125
2021-02-15,81455124.078125
2021-02-16,81455124.078125
2021-02-17,83640008.3125
2021-02-18,83640008.3125
2021-02-19,81039726.46875
2021-02-20,81039726.46875
2021-02-21,80023157.17708333
2021-02-22,80023157.17708333
2021-02-23,75876264.453125
2021-02-24,75876264.453125
2021-02-25,79278865.90104167
2021-02-26,79278865.90104167
2021-02-27,81153578.29166667
2021-02-28,81153578.29166667
2021-03-01,81153578.29166667
2021-03-02,82239881.375
2021-03-03,82239881.375
2021-03-04,83150128.38541667
2021-03-05,83150128.38541667
2021-03-06,82215374.08333333
2021-03-07,82215374.08333333
2021-03-08,92290534.36458333
2021-03-09,92290534.36458333
2021-03-10,90222442.32291667
2021-03-11,90222442.32291667
2021-03-12,77172849.80729167
2021-03-13,77172849.80729167
2021-03-14,77172849.80729167
2021-03-15,77785453.609375
2021-03-16,77785453.609375
2021-03-17,82543692.71875
2021-03-18,82543692.71875
2021-03-19,78020270.86979167
2021-03-20,78020270.86979167
2021-03-21,79568087.078125
2021-03-22,79568087.078125
2021-03-23,88439186.15104167
2021-03-24,88439186.15104167
2021-03-25,96939513.21875
2021-03-26,96939513.21875
2021-03-27,96939513.21875
2021-03-28,103223259.66145833
2021-03-29,103223259.66145833
2021-03-30,84695888.30729167
2021-03-31,84695888.30729167
2021-04-01,85157779.72916667
2021-04-02,85157779.72916667
2021-04-03,85349874.171875
2021-04-04,85349874.171875
2021-04-05,82681144.51041667
2021-04-06,82681144.51041667
2021-04-07,88173035.73958333
2021-04-08,88173035.73958333
2021-04-09,88173035.73958333
2021-04-10,83308870.05729167
2021-04-11,83308870.05729167
2021-04-12,81860273.61979167
2021-04-13,81860273.61979167
2021-04-14,82838674.57291667
2021-04-15,82838674.57291667
2021-04-16,85738838.07291667
2021-04-17,85738838.07291667
2021-04-18,69119260.66145833
2021-04-19,69119260.66145833
2021-04-20,71902558.76041667
2021-04-21,71902558.76041667
2021-04-22,71902558.76041667
2021-04-23,74119582.1875
2021-04-24,74119582.1875
2021-04-25,74314095.97395833
2021-04-26,74314095.97395833
2021-04-27,80259195.109375
2021-04-28,80259195.109375
2021-04-29,89029522.38020833
2021-04-30,89029522.38020833
2021-05-01,88692706.17708333
2021-05-02,88692706.17708333
2021-05-03,82469000.671875
2021-05-04,82469000.671875
2021-05-05,82469000.671875
2021-05-06,70367451.35416667
2021-05-07,70367451.35416667
2021-05-08,55764574.359375
2021-05-09,55764574.359375
2021-05-10,42302467.65625
2021-05-11,42302467.65625
2021-05-12,23758953.5625
2021-05-13,23758953.5625
2021-05-14,38068866.427083336
2021-05-15,38068866.427083336
2021-05-16,33106391.369791668
2021-05-17,33106391.369791668
2021-05-18,33106391.369791668
2021-05-19,60039466.057291664
2021-05-20,60039466.057291664
2021-05-21,79309445.890625
2021-05-22,79309445.890625
2021-05-23,76022410.50520833
2021-05-24,76022410.50520833
2021-05-25,61345745.197916664
2021-05-26,61345745.197916664
2021-05-27,72963529.96875
2021-05-28,72963529.96875
2021-05-29,62077080.21875
